date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield
2018-05-29,2018-05-29,207133089455.0,2.9522,9.5242,0.0386,0.104995
2018-05-25,2018-05-25,207017048508.0,2.9505,9.5189,0.038621,0.105054
2018-05-24,2018-05-24,208235478446.0,2.9679,9.5749,0.038395,0.104439
2018-05-23,2018-05-23,208699642232.0,2.9745,9.5963,0.03831,0.104207
2018-05-22,2018-05-22,207249130401.0,2.9538,9.5296,0.038578,0.104937
2018-05-21,2018-05-21,207713294187.0,2.9604,9.5509,0.038492,0.104702
2018-05-18,2018-05-18,206784966615.0,2.9472,9.5082,0.038665,0.105172
2018-05-17,2018-05-17,207191109928.0,2.953,9.5269,0.038589,0.104966
2018-05-16,2018-05-16,207017048508.0,2.9505,9.5189,0.038621,0.105054
2018-05-15,2018-05-15,207075068981.0,2.9513,9.5216,0.03861,0.105025
2018-05-14,2018-05-14,208061417026.0,2.9654,9.5669,0.038427,0.104527
2018-05-11,2018-05-11,205972679990.0,2.9356,9.4709,0.038817,0.105587
2018-05-10,2018-05-10,203303738221.0,2.8976,9.3482,0.039327,0.106973
2018-05-09,2018-05-09,202085308283.0,2.8802,9.2921,0.038964,0.107618
2018-05-08,2018-05-08,200993576450.0,2.8647,9.2419,0.039176,0.108202
2018-05-07,2018-05-07,200706278599.0,2.8606,9.2287,0.039232,0.108357
2018-05-04,2018-05-04,200189142468.0,2.8532,9.2049,0.039333,0.108637
2018-05-03,2018-05-03,199729465906.0,2.8466,9.1838,0.039424,0.108887
2018-05-02,2018-05-02,200476440318.0,2.8573,9.2182,0.039277,0.108482
2018-05-01,2018-05-01,203406878397.0,2.8991,9.3529,0.038711,0.106919
2018-04-30,2018-04-30,210359486387.0,2.9982,9.6726,0.037432,0.103385
2018-04-27,2018-04-27,212600409624.0,3.0301,9.7756,0.037037,0.102295
2018-04-26,2018-04-26,211738516071.0,3.0178,9.736,0.037188,0.102712
2018-04-25,2018-04-25,210761703379.0,3.0039,9.6911,0.03736,0.103188
